invoice_id,customer_id,customer_name,invoice_amount,invoice_date,due_date
INV0116,CUST008,Customer 008 Pvt Ltd,54727.26,2026-05-30,2026-06-29
INV0117,CUST028,Customer 028 Pvt Ltd,8764.6,2026-02-02,2026-03-04
INV0118,CUST024,Customer 024 Pvt Ltd,85903.22,2026-01-11,2026-02-10
INV0119,CUST014,Customer 014 Pvt Ltd,65024.01,2026-03-05,2026-04-04
INV0120,CUST023,Customer 023 Pvt Ltd,84572.12,2026-05-24,2026-06-23
INV0121,CUST027,Customer 027 Pvt Ltd,88318.74,2026-02-09,2026-03-11
INV0122,CUST016,Customer 016 Pvt Ltd,92858.54,2026-02-11,2026-03-13
INV0123,CUST012,Customer 012 Pvt Ltd,7230.77,2026-04-16,2026-05-16
INV0124,CUST022,Customer 022 Pvt Ltd,77201.16,2026-04-16,2026-05-16
INV0125,CUST016,Customer 016 Pvt Ltd,19327.81,2026-03-10,2026-04-09
INV0126,CUST007,Customer 007 Pvt Ltd,83495.01,2026-04-08,2026-05-08
INV0127,CUST031,Customer 031 Pvt Ltd,22961.55,2026-02-26,2026-03-28
INV0128,CUST030,Customer 030 Pvt Ltd,32467.18,2026-03-31,2026-04-30
INV0129,CUST015,Customer 015 Pvt Ltd,7129.8,2026-02-27,2026-03-29
INV0130,CUST013,Customer 013 Pvt Ltd,34543.58,2026-04-13,2026-05-13
INV0131,CUST005,Customer 005 Pvt Ltd,36603.15,2026-03-13,2026-04-12
INV0132,CUST005,Customer 005 Pvt Ltd,66156.63,2026-04-13,2026-05-13
INV0133,CUST035,Customer 035 Pvt Ltd,89531.34,2026-03-26,2026-04-25
INV0134,CUST008,Customer 008 Pvt Ltd,21071.1,2026-03-08,2026-04-07
INV0135,CUST017,Customer 017 Pvt Ltd,14756.23,2026-01-10,2026-02-09
INV0136,CUST017,Customer 017 Pvt Ltd,70569.06,2026-03-30,2026-04-29
INV0137,CUST017,Customer 017 Pvt Ltd,59558.8,2026-04-22,2026-05-22
INV0138,CUST033,Customer 033 Pvt Ltd,39667.59,2026-01-30,2026-03-01
INV0139,CUST033,Customer 033 Pvt Ltd,27925.03,2026-02-18,2026-03-20
INV0140,CUST028,Customer 028 Pvt Ltd,51792.83,2026-01-01,2026-01-31
INV0141,CUST035,Customer 035 Pvt Ltd,37779.93,2026-02-20,2026-03-22
INV0142,CUST005,Customer 005 Pvt Ltd,61083.99,2026-03-26,2026-04-25
INV0143,CUST008,Customer 008 Pvt Ltd,50641.03,2026-03-18,2026-04-17
INV0144,CUST027,Customer 027 Pvt Ltd,41216.03,2026-03-25,2026-04-24
INV0145,CUST019,Customer 019 Pvt Ltd,16455.9,2026-05-22,2026-06-21
INV0146,CUST027,Customer 027 Pvt Ltd,65958.62,2026-04-08,2026-05-08
INV0147,CUST022,Customer 022 Pvt Ltd,32085.49,2026-05-26,2026-06-25
INV0148,CUST036,Customer 036 Pvt Ltd,32348.75,2026-01-01,2026-01-31
INV0149,CUST014,Customer 014 Pvt Ltd,75718.29,2026-04-21,2026-05-21
INV0150,CUST039,Customer 039 Pvt Ltd,46848.94,2026-03-24,2026-04-23
INV0151,CUST029,Customer 029 Pvt Ltd,51005.66,2026-02-24,2026-03-26
INV0152,CUST011,Customer 011 Pvt Ltd,30540.78,2026-01-22,2026-02-21
INV0153,CUST040,Customer 040 Pvt Ltd,13404.85,2026-03-27,2026-04-26
INV0154,CUST016,Customer 016 Pvt Ltd,25217.66,2026-03-21,2026-04-20
INV0155,CUST013,Customer 013 Pvt Ltd,7198.28,2026-02-07,2026-03-09
INV0156,CUST016,Customer 016 Pvt Ltd,60014.66,2026-05-02,2026-06-01
INV0157,CUST005,Customer 005 Pvt Ltd,42299.69,2026-04-27,2026-05-27
INV0158,CUST005,Customer 005 Pvt Ltd,69651.13,2026-02-19,2026-03-21
INV0159,CUST025,Customer 025 Pvt Ltd,40968.76,2026-05-07,2026-06-06
INV0160,CUST010,Customer 010 Pvt Ltd,85339.38,2026-01-02,2026-02-01
INV0161,CUST007,Customer 007 Pvt Ltd,24695.7,2026-04-19,2026-05-19
INV0162,CUST034,Customer 034 Pvt Ltd,9519.65,2026-04-29,2026-05-29
INV0163,CUST016,Customer 016 Pvt Ltd,46081.56,2026-02-01,2026-03-03
INV0164,CUST030,Customer 030 Pvt Ltd,93910.32,2026-05-16,2026-06-15
INV0165,CUST039,Customer 039 Pvt Ltd,90503.56,2026-03-23,2026-04-22
INV0166,CUST029,Customer 029 Pvt Ltd,43406.67,2026-05-10,2026-06-09
INV0167,CUST035,Customer 035 Pvt Ltd,85748.73,2026-04-25,2026-05-25
INV0168,CUST022,Customer 022 Pvt Ltd,28327.24,2026-04-26,2026-05-26
INV0169,CUST016,Customer 016 Pvt Ltd,73923.23,2026-03-12,2026-04-11
INV0170,CUST034,Customer 034 Pvt Ltd,61407.36,2026-05-05,2026-06-04
INV0171,CUST018,Customer 018 Pvt Ltd,11973.5,2026-04-23,2026-05-23
INV0172,CUST019,Customer 019 Pvt Ltd,29454.36,2026-03-02,2026-04-01
INV0173,CUST025,Customer 025 Pvt Ltd,12251.99,2026-05-19,2026-06-18
INV0174,CUST010,Customer 010 Pvt Ltd,39473.18,2026-03-01,2026-03-31
INV0175,CUST010,Customer 010 Pvt Ltd,10780.6,2026-02-24,2026-03-26
INV0176,CUST027,Customer 027 Pvt Ltd,53835.0,2026-03-26,2026-04-25
INV0177,CUST027,Customer 027 Pvt Ltd,23615.1,2026-01-16,2026-02-15
INV0178,CUST027,Customer 027 Pvt Ltd,86435.46,2026-04-10,2026-05-10
INV0179,CUST038,Customer 038 Pvt Ltd,82105.88,2026-01-06,2026-02-05
INV0180,CUST036,Customer 036 Pvt Ltd,47928.18,2026-04-08,2026-05-08
